Name,Category,Created,Created by,Description,LIFA Relevance,Link,Type
Anchor,Creation,"Jan 09, 2020 6:08 PM",Michael Mignano,"Free Tool to create, distribute and monetize your podcast",high,https://anchor.fm,Tool
Bubble,Creation,"Jan 09, 2020 6:11 PM",Emmanuel Straschnov,Platform to create a pretty web-app without coding,high,https://bubble.io,
ShareTribe,Creation,"Jan 09, 2020 6:12 PM",Juho Makkonen,Platform to start your own marketplace without coding,high,www.sharetribe.com,"Platform, Tool"
Shopify,"Creation, E-commerce","Jan 09, 2020 6:15 PM",Tobias Lutke,Platform to put up and run your own e-commerce store,high,www.shopify.com,"Platform, Tool, Website"
Open Humans Data Project,"Community, Funding","Jan 09, 2020 6:18 PM",Mad Price Ball,A $5000 grant for human data proejcts,high,https://www.openhumans.org/grants/,
Thiel Fellowship,Funding,"Jan 09, 2020 6:22 PM",Peter Thiel,"$100,000 grant over two years for young people who skip college and want to build new things",high,https://thielfellowship.org/,"Pre-Seed, Website"
Kaggle,"Creation, Data Science","Jan 09, 2020 6:25 PM",Anthony Goldbloom,"learn data-science, participate in global competitions and share your expertise with others",high,www.kaggle.com,"Platform, Website"
Figma,"Creation, Design","Jan 09, 2020 6:28 PM",Dylan Field,"the collaborative design tool for web interfaces, (browser-based)",high,www.figma.com,"Tool, Website"
Canva,"Creation, Graphic Design","Jan 09, 2020 6:31 PM",Melanie Perkins,free image editor with drag and drop format,high,canva.com,"Tool, Website"
Roam Research,"Creation, Strategic","Jan 09, 2020 6:33 PM",Connor White-Sullivan,"a graph-database tool to take notes, connect the dots and synthesize new ideas",high,http://roamresearch.com/,Tool
Notion,Creation,"Jan 09, 2020 6:42 PM",Ivan Zhao,"elegant platform for knowledge-base, wiki, task-management and team collaboration",high,notion.so,"Platform, Tool"
Heroku,Creation,"Jan 09, 2020 6:40 PM",James Lindenbaum & Others,cloud platform to deploy your side-project app/website — easy and free,high,"heroku,com",Tool
Boron Letters,"Copywriting, Learning","Jan 09, 2020 6:35 PM",Gary Halbert,"Gary Halbert's famous boron letters, teaching his art of copywriting",high,https://morgancrozier.com/boron-letters/,Website
Influence (book),Learning,"Jan 09, 2020 6:51 PM",Robert Cialdini,great book on human psychology describing the fundamental drivers of persuasion,high,https://www.amazon.in/Influence-Psychology-Persuasion-Business-Essentials-ebook/dp/B002BD2UUC,Book
Zero to One,Learning,"Jan 09, 2020 6:54 PM","Blake Masters and Peter Thiel ",contrarian advice of Peter Thiel for transformative startups,high,https://www.amazon.in/Zero-One-Start-Build-Future/dp/0753555190,Book
Naval Ravikant on JRE,Learning,"Jan 09, 2020 6:57 PM",Joe Rogan,Naval Ravikant talks to Joe Rogan on creating wealth and being happy - plenty of wisdom shared,high,https://www.youtube.com/watch?v=3qHkcs3kG44,Podcast
Nomad List,"People, Travel","Jan 09, 2020 7:01 PM",Pieter Levels,"a curated list of places to travel to, for location-independent professionals",high,https://nomadlist.com/,Website
"Nadia Eghbal ",People,"Jan 09, 2020 7:29 PM",,indie researcher focusing on internet creator economics,high,nadiaeghbal.com,Blog
James Gallaghar,People,"Jan 09, 2020 7:31 PM",,young researcher experimenting with selling personal shares,medium,https://www.jamesgallagher.app/,Blog
Alexey Guzey,People,"Jan 09, 2020 7:32 PM",,indie researcher sharing his lessons on how to make friends online,high,https://guzey.com/,Blog
David Perell,People,"Jan 09, 2020 7:34 PM",,"Online writer sharing his learnings on building a personal brand via online writing ",high,https://www.perell.com/,Blog
